station_name,lat_deg,lat_min,lon_deg,lon_min,placement,county,commissioned
Longyearbyen,78,13,15,37,ground,Svalbard,2006-09
Mehamn,71,1,27,49,ground,Troms og Finnmark,2006-10
Hammerfest,70,40,23,39,building,Troms og Finnmark,2006-10
Vardø,70,22,31,5,ground,Troms og Finnmark,2007-01
Sørkjosen,69,35,20,58,building,Troms og Finnmark,2010-04
Tromsø,69,39,18,56,ground,Troms og Finnmark,2006-10
Karasjok,69,28,25,31,ground,Troms og Finnmark,2006-09
Svanhovd,69,27,30,2,ground,Troms og Finnmark,2006-09
Kautokeino,69,35,25,19,ground,Troms og Finnmark,2010-04
Harstad,68,48,16,32,ground,Troms og Finnmark,2006-10
Svolvær,68,13,14,35,building,Nordland,2010-05
Bodø,67,17,14,23,building,Nordland,2007-01
Mo i Rana,66,18,14,8,building,Nordland,2006-12
Brønnøysund,65,27,12,12,ground,Nordland,2006-11
Snåsa,64,14,12,23,ground,Trøndelag,2007-01
Hitra,63,38,8,41,ground,Trøndelag,2010-08
Trondheim,63,24,10,28,ground,Trøndelag,2006-11
Molde,62,45,7,12,ground,Møre og Romsdal,2006-11
Runde,62,23,5,39,ground,Møre og Romsdal,2010-03
Dombås,62,4,9,7,ground,Innlandet,2006-12
Drevsjø,61,53,12,2,ground,Innlandet,2006-10
Førde,61,27,5,50,ground,Vestland,2007-04
Hamar,60,49,11,4,ground,Innlandet,2006-10
Hol,60,34,8,24,ground,Viken,2007-01
Bergen,60,23,5,20,building,Vestland,2006-10
Kjeller,59,58,11,3,ground,Viken,2007-08
Oslo,59,56,10,43,ground,Oslo,2006-08
Vinje,59,36,7,51,ground,Vestfold og Telemark,2006-10
Halden,58,59,11,31,building,Viken,2008-02
Stavern,58,59,10,2,ground,Vestfold og Telemark,2007-11
Stavanger,58,57,5,43,ground,Rogaland,2007-03
Arendal,58,31,8,54,ground,Agder,2006-08
Lista,58,7,6,33,ground,Agder,2007-05
